gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,difference
Atp8a2,0.000178951,0.277245295,0.639,0.481,1,AMG1,0.158
Mrpl1,0.000286889,0.365038279,0.234,0.076,1,AMG3,0.158
Yeats2,0.002740649,0.429792173,0.277,0.119,1,AMG3,0.158
6330403K07Rik,0.002902185,0.618902284,0.231,0.073,1,AMG4,0.158
Znrf2,6.75E-07,0.3362996,0.364,0.206,0.017148228,AMG1,0.158
Gm11508,1.17E-05,0.819815143,0.213,0.055,0.296169274,AMG3,0.158
C87436,0.001557906,0.328805023,0.255,0.097,1,AMG3,0.158
Snf8,0.001602267,0.282767966,0.255,0.097,1,AMG3,0.158
Srrd,4.91E-05,0.490856931,0.192,0.034,1,AMG4,0.158
Antxr2,4.37E-06,1.022087171,0.182,0.024,0.111053488,Macrophage,0.158
Arhgap30,1.30E-06,0.269288504,0.357,0.199,0.033033323,AMG1,0.158
Zfp942,0.000321397,0.33633894,0.234,0.077,1,AMG3,0.157
Jdp2,0.003027268,0.670866147,0.231,0.074,1,AMG4,0.157
Fam117b,4.74E-06,0.260700445,0.37,0.213,0.120556394,AMG1,0.157
Ncapd2,2.13E-14,0.621601407,0.17,0.013,5.40E-10,AMG3,0.157
Papolg,2.48E-05,0.52977503,0.213,0.056,0.631521656,AMG3,0.157
Ifih1,2.50E-05,1.183732083,0.192,0.035,0.635416745,AMG4,0.157
Stum,5.33E-05,0.653159278,0.192,0.035,1,AMG4,0.157
Acrbp,0.003789234,0.775743979,0.227,0.07,1,Macrophage,0.157
Dnaja3,0.004755012,0.668399275,0.227,0.07,1,Macrophage,0.157
Nacc1,0.00030062,0.51683538,0.234,0.078,1,AMG3,0.156
2700049A03Rik,0.000379462,0.448044147,0.234,0.078,1,AMG3,0.156
Gatb,0.004028639,0.606925758,0.231,0.075,1,AMG4,0.156
Cenpo,2.19E-07,0.469676174,0.191,0.035,0.00557033,AMG3,0.156
Abcg3,1.10E-05,0.919917739,0.182,0.026,0.280605259,Macrophage,0.156
Gm16337,1.58E-12,0.806819278,0.599,0.443,4.01E-08,AMG2,0.156
St3gal4,0.000356896,0.565303402,0.234,0.079,1,AMG3,0.155
8030453O22Rik,5.06E-05,0.347117116,0.213,0.058,1,AMG3,0.155
Itga5,0.000623296,0.33937057,0.234,0.08,1,AMG3,0.154
Adgrb2,0.00600439,0.776240527,0.227,0.073,1,Macrophage,0.154
Mindy2,1.88E-08,0.374931783,0.299,0.145,0.000477332,AMG1,0.154
Ankrd40,5.18E-05,0.494040987,0.213,0.059,1,AMG3,0.154
Atraid,0.002409701,0.357753999,0.255,0.101,1,AMG3,0.154
Ptpa,0.00992958,0.31591688,0.298,0.144,1,AMG3,0.154
Tgfb1,5.35E-07,0.281455327,0.331,0.178,0.013608333,AMG1,0.153
Bcas2,0.000733646,0.350453344,0.234,0.081,1,AMG3,0.153
Yars,0.002137454,0.382908354,0.255,0.102,1,AMG3,0.153
Nup210l,0.004542899,0.755561546,0.231,0.078,1,AMG4,0.153
Lrrcc1,0.005544709,0.828006386,0.227,0.074,1,Macrophage,0.153
Pold3,6.32E-05,0.473027823,0.213,0.06,1,AMG3,0.153
Tgfbi,3.82E-05,1.506491002,0.182,0.029,0.972303386,Macrophage,0.153
Fcgrt,4.29E-05,0.893279193,0.182,0.029,1,Macrophage,0.153
Kbtbd3,4.77E-05,0.808343209,0.182,0.029,1,Macrophage,0.153
Vapb,0.000708732,0.378281299,0.234,0.082,1,AMG3,0.152
Acly,0.000734106,0.384190668,0.234,0.082,1,AMG3,0.152
Gm13708,0.001936232,0.415801576,0.255,0.103,1,AMG3,0.152
Rufy1,0.002527561,0.388346198,0.255,0.103,1,AMG3,0.152
Gm10563,0.006089357,0.525032784,0.231,0.079,1,AMG4,0.152
Cand1,0.006721983,0.522952007,0.231,0.079,1,AMG4,0.152
Fam76a,0.00694563,0.506809292,0.231,0.079,1,AMG4,0.152
Gm38604,0.005940252,0.872044343,0.227,0.075,1,Macrophage,0.152
Rnf121,0.007218355,0.700467491,0.227,0.075,1,Macrophage,0.152
Kitl,0.00757421,0.863014408,0.227,0.075,1,Macrophage,0.152
Atg10,8.09E-07,0.352142801,0.357,0.205,0.020572678,AMG1,0.152
Tab1,2.20E-06,0.374877488,0.191,0.039,0.056041052,AMG3,0.152
Cbfa2t3,7.34E-05,0.594465117,0.213,0.061,1,AMG3,0.152
Socs3,0.007830361,0.550571219,0.319,0.167,1,AMG3,0.152
Trim27,0.000198703,0.670987774,0.192,0.04,1,AMG4,0.152
Ptger4,0.000206521,0.553924612,0.192,0.04,1,AMG4,0.152
Plcl1,4.26E-09,0.341979786,0.911,0.76,0.000108339,AMG1,0.151
Rnf157,0.000587687,0.500932454,0.234,0.083,1,AMG3,0.151
Fancc,0.000679135,0.447127726,0.234,0.083,1,AMG3,0.151
Nin,0.002153175,0.416029996,0.255,0.104,1,AMG3,0.151
Mettl25,0.002871765,0.334799196,0.255,0.104,1,AMG3,0.151
Foxo1,0.006572542,0.308390927,0.277,0.126,1,AMG3,0.151
Slc45a4,0.005520453,0.899640803,0.227,0.076,1,Macrophage,0.151
Xndc1,2.25E-06,0.51004444,0.191,0.04,0.057269366,AMG3,0.151
Ifi209,1.46E-23,1.193751165,0.154,0.003,3.71E-19,AMG4,0.151
Phf11a,1.46E-23,0.937742032,0.154,0.003,3.71E-19,AMG4,0.151
Dhx58os,1.98E-23,0.809571416,0.154,0.003,5.04E-19,AMG4,0.151
Ccdc137,8.53E-05,0.807834755,0.182,0.031,1,Macrophage,0.151
Gnai3,0.001876781,0.517173478,0.255,0.105,1,AMG3,0.15
Rnf220,0.002044449,0.465991603,0.255,0.105,1,AMG3,0.15
Fmn2,0.002876554,0.374067683,0.255,0.105,1,AMG3,0.15
Arhgap35,0.007172606,0.320716437,0.277,0.127,1,AMG3,0.15
Prickle2,0.008486506,0.332594362,0.277,0.127,1,AMG3,0.15
Galnt7,7.02E-07,0.398040124,0.37,0.22,0.017840373,AMG1,0.15
Helz2,2.80E-18,0.828130501,0.154,0.004,7.13E-14,AMG4,0.15
4833422C13Rik,8.54E-10,0.496517787,0.17,0.021,2.17E-05,AMG3,0.149
Mastl,1.06E-09,0.526456182,0.17,0.021,2.68E-05,AMG3,0.149
Taf2,0.001460837,0.32558182,0.234,0.085,1,AMG3,0.149
Eefsec,0.006774681,0.376502408,0.277,0.128,1,AMG3,0.149
Nfkbia,0.00038242,0.616960368,0.192,0.043,1,AMG4,0.149
Ndufb11,0.006719352,0.793989563,0.231,0.082,1,AMG4,0.149
2-Mar,0.008641302,0.782021333,0.227,0.078,1,Macrophage,0.149
Nipsnap2,0.009072308,0.688094164,0.227,0.078,1,Macrophage,0.149
Depdc1a,3.23E-39,0.788586533,0.149,0,8.21E-35,AMG3,0.149
Ticrr,3.23E-39,0.605606586,0.149,0,8.21E-35,AMG3,0.149
Cdca3,3.23E-39,0.604085508,0.149,0,8.21E-35,AMG3,0.149
E2f7,3.23E-39,0.597751227,0.149,0,8.21E-35,AMG3,0.149
Bub1,3.23E-39,0.589095071,0.149,0,8.21E-35,AMG3,0.149
Npat,0.000131481,0.573348043,0.213,0.064,1,AMG3,0.149
Kcnk12,0.000244436,0.31006609,0.213,0.064,1,AMG3,0.149
Dpy19l4,1.81E-06,0.27938388,0.331,0.183,0.046017385,AMG1,0.148
Stk3,8.21E-06,0.317724603,0.383,0.235,0.208772795,AMG1,0.148
Gm26917,6.53E-09,0.833206373,0.553,0.405,0.000165997,AMG2,0.148
Dgkh,0.007946954,0.395626635,0.277,0.129,1,AMG3,0.148
Os9,0.008137323,0.346757527,0.277,0.129,1,AMG3,0.148
Vps45,0.007192738,0.628926847,0.231,0.083,1,AMG4,0.148
Cd33,6.78E-06,0.28530873,0.368,0.22,0.172317474,AMG1,0.148
Nuf2,4.07E-34,0.564428615,0.149,0.001,1.04E-29,AMG3,0.148
Ap4e1,0.000143543,0.486345089,0.213,0.065,1,AMG3,0.148
Mmaa,0.000291344,0.357175214,0.213,0.065,1,AMG3,0.148
Cd83,7.24E-08,0.460043658,0.333,0.186,0.001841815,AMG1,0.147
Fam3c,0.001655229,0.301809779,0.234,0.087,1,AMG3,0.147
Fyn,0.004360745,0.292340076,0.255,0.108,1,AMG3,0.147
Kifap3,0.009427487,0.359265839,0.277,0.13,1,AMG3,0.147
Dis3l2,1.40E-05,0.259700077,0.372,0.225,0.356349801,AMG1,0.147
Dlgap5,2.46E-30,0.754871299,0.149,0.002,6.26E-26,AMG3,0.147
Melk,3.32E-30,0.629813882,0.149,0.002,8.44E-26,AMG3,0.147
Gmeb2,0.000287392,0.396643107,0.213,0.066,1,AMG3,0.147
Hacd4,0.000310823,0.923637853,0.182,0.035,1,Macrophage,0.147
Dbf4,1.27E-08,0.611486348,0.17,0.024,0.000322696,AMG3,0.146
Rccd1,2.01E-08,0.500727024,0.17,0.024,0.000510022,AMG3,0.146
Tmx1,1.25E-05,0.535096096,0.191,0.045,0.317733463,AMG3,0.146
Rbm15,0.001360917,0.416348024,0.234,0.088,1,AMG3,0.146
Igsf6,0.000608953,0.858919634,0.192,0.046,1,AMG4,0.146
Arl8a,0.008142893,1.025293405,0.227,0.081,1,Macrophage,0.146
Glt8d1,0.008624225,0.85858688,0.227,0.081,1,Macrophage,0.146
Mybl1,1.43E-24,0.916030359,0.149,0.003,3.64E-20,AMG3,0.146
Tcf19,1.78E-24,0.649629193,0.149,0.003,4.51E-20,AMG3,0.146
Wee1,1.82E-24,0.780016106,0.149,0.003,4.64E-20,AMG3,0.146
Gm14091,1.82E-24,0.477296171,0.149,0.003,4.64E-20,AMG3,0.146
Ifi206,1.30E-12,0.763807094,0.154,0.008,3.31E-08,AMG4,0.146
Lmna,0.000455732,0.688672528,0.182,0.036,1,Macrophage,0.146
Arhgap24,1.37E-06,0.463980575,0.465,0.32,0.034734547,AMG1,0.145
Litaf,5.75E-06,0.357419616,0.403,0.258,0.1462211,AMG1,0.145
Zfp407,7.92E-05,0.266100356,0.452,0.307,1,AMG1,0.145
Pelp1,1.85E-05,0.432145505,0.191,0.046,0.469978539,AMG3,0.145
Anapc5,0.00119297,0.557232529,0.234,0.089,1,AMG3,0.145
Baiap2l1,0.001218105,0.489938378,0.234,0.089,1,AMG3,0.145
Eepd1,0.003701849,0.386528356,0.255,0.11,1,AMG3,0.145
Cdk1,2.53E-22,0.622409015,0.149,0.004,6.44E-18,AMG3,0.145
Ccdc77,0.000320622,0.477678604,0.213,0.068,1,AMG3,0.145
B430306N03Rik,8.06E-11,0.657574726,0.154,0.009,2.05E-06,AMG4,0.145
Adss,0.00211763,0.361705159,0.234,0.09,1,AMG3,0.144
Tasp1,0.005238314,0.55204055,0.277,0.133,1,AMG3,0.144
Wdr61,0.000998625,0.639614495,0.192,0.048,1,AMG4,0.144
Mthfs,4.16E-06,0.33591652,0.361,0.217,0.105710215,AMG1,0.144
Bub1b,1.81E-20,0.595268494,0.149,0.005,4.60E-16,AMG3,0.144
Fancm,9.44E-08,0.451822176,0.17,0.027,0.002399659,AMG3,0.143
Tnfaip8,5.42E-06,0.361846467,0.368,0.225,0.137901281,AMG1,0.143
Nusap1,4.72E-19,0.750450727,0.149,0.006,1.20E-14,AMG3,0.143
Pask,6.45E-19,0.517476885,0.149,0.006,1.64E-14,AMG3,0.143
Cenpj,1.39E-07,0.583482669,0.17,0.028,0.003543315,AMG3,0.142
Nhs,1.85E-05,0.950782545,0.191,0.049,0.470482264,AMG3,0.142
Slc7a1,3.30E-05,0.549419098,0.191,0.049,0.839496059,AMG3,0.142
Pdlim7,3.55E-05,0.528875264,0.191,0.049,0.902015869,AMG3,0.142
Mfap1a,4.85E-05,0.460499152,0.191,0.049,1,AMG3,0.142
Cep162,0.000831608,0.343037598,0.213,0.071,1,AMG3,0.142
Iqgap1,0.002682643,0.440760938,0.234,0.092,1,AMG3,0.142
Gen1,1.95E-17,0.479722486,0.149,0.007,4.95E-13,AMG3,0.142
Bcl2a1d,4.29E-09,0.738526444,0.154,0.012,0.000109035,AMG4,0.142
F630206G17Rik,5.14E-09,0.714810776,0.154,0.012,0.000130592,AMG4,0.142
Nt5c3,0.00091956,0.859753267,0.182,0.04,1,Macrophage,0.142
Csgalnact2,0.001030793,0.690765879,0.182,0.04,1,Macrophage,0.142
Aff4,6.14E-05,0.264909933,0.411,0.269,1,AMG1,0.142
Tln1,4.84E-08,0.266840152,0.258,0.117,0.001230718,AMG1,0.141
Mtmr14,0.000863784,0.352061931,0.213,0.072,1,AMG3,0.141
Zfyve26,0.00783937,0.351637656,0.255,0.114,1,AMG3,0.141
Lrp12,0.009356294,0.390030518,0.277,0.136,1,AMG3,0.141
Dnase2a,0.009943695,0.256180815,0.255,0.114,1,AMG3,0.141
Psmd5,0.001513771,0.604070713,0.192,0.051,1,AMG4,0.141
Zfp955b,0.001649638,0.610456511,0.192,0.051,1,AMG4,0.141
Gak,9.89E-07,0.282609834,0.299,0.158,0.025140573,AMG1,0.141
Mcm5,1.86E-16,0.668720192,0.149,0.008,4.74E-12,AMG3,0.141
Spag5,2.77E-16,0.478797058,0.149,0.008,7.05E-12,AMG3,0.141
Ppa1,0.001084873,0.855984771,0.182,0.041,1,Macrophage,0.141
Mlh1,6.67E-05,0.444981262,0.191,0.051,1,AMG3,0.14
Chek2,8.28E-05,0.440630427,0.191,0.051,1,AMG3,0.14
D130040H23Rik,0.003762732,0.36303568,0.234,0.094,1,AMG3,0.14
Tmem189,0.009217254,0.282154358,0.255,0.115,1,AMG3,0.14
Mydgf,0.001404207,0.783928251,0.192,0.052,1,AMG4,0.14
Nucb2,0.001548327,0.742398822,0.192,0.052,1,AMG4,0.14
Dars2,6.94E-07,0.912120224,0.17,0.031,0.017631456,AMG3,0.139
Mcm7,8.18E-07,0.435848857,0.17,0.031,0.020790068,AMG3,0.139
Palb2,1.59E-06,0.341045919,0.17,0.031,0.040452094,AMG3,0.139
Galc,0.001384268,0.269631353,0.213,0.074,1,AMG3,0.139
Trim30b,6.54E-08,1.173565165,0.154,0.015,0.001661649,AMG4,0.139
Dbndd2,0.002343147,0.631929616,0.192,0.053,1,AMG4,0.139
Tpcn2,0.001380087,0.922976688,0.182,0.043,1,Macrophage,0.139
Parp11,0.001527973,0.747682606,0.182,0.043,1,Macrophage,0.139
Cystm1,0.001741022,0.747748609,0.182,0.043,1,Macrophage,0.139
Racgap1,1.29E-13,0.567610021,0.149,0.01,3.28E-09,AMG3,0.139
Rgs12,1.50E-13,0.538221625,0.149,0.01,3.81E-09,AMG3,0.139
Immp2l,1.67E-05,0.430456441,0.437,0.299,0.423429877,AMG1,0.138
Cnot9,1.56E-06,0.564488045,0.17,0.032,0.03965571,AMG3,0.138
Sephs1,1.77E-06,0.438510622,0.17,0.032,0.044885855,AMG3,0.138
Dnajc11,0.003859309,0.343460203,0.234,0.096,1,AMG3,0.138
Dek,0.008539437,0.390665567,0.255,0.117,1,AMG3,0.138
Tmem192,0.001840348,0.871774409,0.182,0.044,1,Macrophage,0.138
Sh3pxd2b,1.68E-06,0.684065534,0.17,0.033,0.042713461,AMG3,0.137
Tdg,0.000171168,0.39273204,0.191,0.054,1,AMG3,0.137
Bcl3,0.001359933,0.40823649,0.213,0.076,1,AMG3,0.137
Tubgcp2,0.003833592,0.457537844,0.192,0.055,1,AMG4,0.137
Blvra,0.002782924,0.650845044,0.182,0.045,1,Macrophage,0.137
Pmf1,3.73E-12,0.471615074,0.149,0.012,9.47E-08,AMG3,0.137
Gab1,1.34E-05,0.387315467,0.374,0.238,0.340343505,AMG1,0.136
Pde4dip,1.84E-05,0.284209866,0.327,0.191,0.467334281,AMG1,0.136
Casp7,4.43E-06,0.405879075,0.17,0.034,0.112645505,AMG3,0.136
Prkd2,0.000190364,0.463212269,0.191,0.055,1,AMG3,0.136
Tnfaip1,0.000222285,0.490411037,0.191,0.055,1,AMG3,0.136
Ciao3,0.000259709,0.29455832,0.191,0.055,1,AMG3,0.136
Arl6ip6,0.000278862,0.324364432,0.191,0.055,1,AMG3,0.136
Abhd17c,0.001556266,0.375877024,0.213,0.077,1,AMG3,0.136
Foxn2,0.001570874,0.427995694,0.213,0.077,1,AMG3,0.136
Cgas,0.001630577,0.355883481,0.213,0.077,1,AMG3,0.136
Zswim8,0.007444072,0.485867164,0.255,0.119,1,AMG3,0.136
Parp10,1.25E-06,0.932122975,0.154,0.018,0.031847251,AMG4,0.136
Greb1l,1.97E-06,0.568661626,0.154,0.018,0.050030951,AMG4,0.136
Ubxn2b,0.003952554,0.483548505,0.192,0.056,1,AMG4,0.136
Tor3a,0.00483748,0.40257239,0.192,0.056,1,AMG4,0.136
Hsf3,1.13E-36,1.350840624,0.136,0,2.88E-32,Macrophage,0.136
Gm30489,1.13E-36,1.341977263,0.136,0,2.88E-32,Macrophage,0.136
Cd209b,1.13E-36,0.834146317,0.136,0,2.88E-32,Macrophage,0.136
Tspyl2,0.002440544,0.775488996,0.182,0.046,1,Macrophage,0.136
Hivep1,3.10E-06,0.26834401,0.299,0.163,0.078698416,AMG1,0.136
5031425E22Rik,0.000171431,0.250650483,0.361,0.225,1,AMG1,0.136
AV099323,1.48E-11,0.539037089,0.149,0.013,3.77E-07,AMG3,0.136
Nrm,1.66E-11,0.475634983,0.149,0.013,4.23E-07,AMG3,0.136
Rad51,1.71E-11,0.501611948,0.149,0.013,4.34E-07,AMG3,0.136
Nab1,0.005564652,0.303435671,0.234,0.099,1,AMG3,0.135
Dennd2c,0.007886734,0.271373136,0.234,0.099,1,AMG3,0.135
Fmc1,3.03E-06,0.763605749,0.154,0.019,0.077112713,AMG4,0.135
Tmcc3,0.001488761,0.632315616,0.962,0.827,1,AMG4,0.135
Tnfaip1,0.004291631,0.588792429,0.192,0.057,1,AMG4,0.135
Rabep2,0.005459372,0.396291142,0.192,0.057,1,AMG4,0.135
Gm50237,1.33E-27,0.709329046,0.136,0.001,3.37E-23,Macrophage,0.135
Rfc3,5.49E-11,0.626983132,0.149,0.014,1.40E-06,AMG3,0.135
Mdm1,6.20E-11,0.442489721,0.149,0.014,1.58E-06,AMG3,0.135
Tagln2,1.91E-10,0.445319876,0.149,0.015,4.86E-06,AMG3,0.134
Lbr,9.81E-06,0.40327833,0.17,0.036,0.249320577,AMG3,0.134
Slc35d1,0.000245102,0.52445018,0.191,0.057,1,AMG3,0.134
Gm1976,0.00396965,0.535997446,0.234,0.1,1,AMG3,0.134
Zfand2a,0.00641909,0.362999381,0.234,0.1,1,AMG3,0.134
Nenf,0.004459221,0.651794439,0.192,0.058,1,AMG4,0.134
Gm20663,0.005076146,0.550790754,0.192,0.058,1,AMG4,0.134
Gpx3,3.18E-22,0.938300796,0.136,0.002,8.09E-18,Macrophage,0.134
Ifi202b,3.36E-22,0.787773412,0.136,0.002,8.55E-18,Macrophage,0.134
Pf4,3.55E-22,0.869839405,0.136,0.002,9.03E-18,Macrophage,0.134
Tulp2,0.003945586,0.699953185,0.182,0.048,1,Macrophage,0.134
Trpm4,1.81E-05,0.424119211,0.17,0.037,0.460412909,AMG3,0.133
Aen,1.81E-05,0.368050012,0.17,0.037,0.460412909,AMG3,0.133
Cep57,1.88E-05,0.360794337,0.17,0.037,0.478612816,AMG3,0.133
Cops3,0.002277249,0.408578772,0.213,0.08,1,AMG3,0.133
Tpk1,0.005434002,0.487197599,0.234,0.101,1,AMG3,0.133
Stap1,1.43E-18,1.063041677,0.136,0.003,3.64E-14,Macrophage,0.133
Wfdc17,1.57E-18,0.721347641,0.136,0.003,3.99E-14,Macrophage,0.133
Nrg2,0.004098419,1.057712864,0.182,0.049,1,Macrophage,0.133
Mrpl10,0.004763542,0.678832062,0.182,0.049,1,Macrophage,0.133
Sphkap,0.004824172,0.731289027,0.182,0.049,1,Macrophage,0.133
Bank1,1.75E-06,0.386653109,0.307,0.175,0.044460789,AMG1,0.132
Rel,2.52E-05,0.263112069,0.327,0.195,0.641376285,AMG1,0.132
Nup107,1.96E-05,0.503136157,0.17,0.038,0.497031703,AMG3,0.132
Acadl,0.000388041,0.484836625,0.191,0.059,1,AMG3,0.132
Dip2a,0.000512602,0.342790757,0.191,0.059,1,AMG3,0.132
Abracl,0.000586918,0.302598353,0.191,0.059,1,AMG3,0.132
Adnp2,0.000614987,0.340780028,0.191,0.059,1,AMG3,0.132
Dazap2,0.003189582,0.282603985,0.213,0.081,1,AMG3,0.132
Rpl7l1,0.003367758,0.295392163,0.213,0.081,1,AMG3,0.132
Hecw2,0.007900236,0.378633734,0.234,0.102,1,AMG3,0.132
1110059E24Rik,0.008080952,0.297191477,0.234,0.102,1,AMG3,0.132
Rbak,1.77E-05,0.813286532,0.154,0.022,0.450116007,AMG4,0.132
Zc3h12a,0.007871794,0.411565641,0.192,0.06,1,AMG4,0.132
Plekhg3,5.61E-14,0.804888406,0.136,0.004,1.42E-09,Macrophage,0.132
Hscb,0.006465714,0.621930157,0.182,0.05,1,Macrophage,0.132
Siglech,0.000689963,0.259965487,0.628,0.497,1,AMG1,0.131
Dnaja1,7.92E-08,0.704721132,0.479,0.348,0.002013804,AMG2,0.131
Wdr62,9.04E-09,0.498741297,0.149,0.018,0.000229867,AMG3,0.131
Ccdc34,4.15E-05,0.292630927,0.17,0.039,1,AMG3,0.131
Cdkn1a,4.44E-05,0.260148258,0.17,0.039,1,AMG3,0.131
Rfc2,0.000448701,0.626101087,0.191,0.06,1,AMG3,0.131
Ankrd26,0.000670601,0.414670956,0.191,0.06,1,AMG3,0.131
Rcan1,0.003154889,0.34810574,0.213,0.082,1,AMG3,0.131
Shisa5,0.005184396,0.750376462,0.192,0.061,1,AMG4,0.131
Pcgf5,0.006409896,0.727243868,0.192,0.061,1,AMG4,0.131
Bscl2,0.007547178,0.544334705,0.192,0.061,1,AMG4,0.131
Prps2,0.00639217,0.632012797,0.182,0.051,1,Macrophage,0.131
Usp8,2.29E-05,0.264100515,0.316,0.186,0.582746469,AMG1,0.13
Fgf13,0.000153516,0.276414753,0.413,0.283,1,AMG1,0.13
Cracr2a,3.33E-05,0.483697772,0.17,0.04,0.847636752,AMG3,0.13
Ints11,4.04E-05,0.440231869,0.17,0.04,1,AMG3,0.13
Supv3l1,5.12E-05,0.342110171,0.17,0.04,1,AMG3,0.13
Tubgcp3,0.000767807,0.357135334,0.191,0.061,1,AMG3,0.13
Slc25a26,0.000848097,0.334174995,0.191,0.061,1,AMG3,0.13
Psmb3,0.002719081,0.461293005,0.213,0.083,1,AMG3,0.13
Nsrp1,0.008162739,0.366990152,0.234,0.104,1,AMG3,0.13
Jade2,0.005778533,0.693677625,0.192,0.062,1,AMG4,0.13
6030458C11Rik,0.00809731,0.525688411,0.192,0.062,1,AMG4,0.13
Enox2,9.15E-07,0.359164082,0.281,0.152,0.023249831,AMG1,0.129
Xrcc4,1.44E-06,0.372121821,0.279,0.15,0.036497201,AMG1,0.129
Hspd1,3.94E-08,0.860211728,0.337,0.208,0.001002403,AMG2,0.129
Rad23b,8.37E-09,0.395116606,0.221,0.092,0.000212889,AMG1,0.129
Srl,4.95E-05,0.486917823,0.17,0.041,1,AMG3,0.129
Armt1,5.90E-05,0.375604079,0.17,0.041,1,AMG3,0.129
Eri1,0.000590148,0.515629267,0.191,0.062,1,AMG3,0.129
Nedd1,0.000720048,0.569405658,0.191,0.062,1,AMG3,0.129
Tpi1,0.004303273,0.499502057,0.213,0.084,1,AMG3,0.129
Katnbl1,0.004350925,0.325253793,0.213,0.084,1,AMG3,0.129
Gm42962,0.008660973,0.414158019,0.234,0.105,1,AMG3,0.129
Hmgxb4,0.008826412,0.463829942,0.234,0.105,1,AMG3,0.129
Pon2,0.008865456,0.362695408,0.234,0.105,1,AMG3,0.129
Tap1,9.11E-05,0.470900099,0.154,0.025,1,AMG4,0.129
H2-T23,0.007926305,0.676511186,0.192,0.063,1,AMG4,0.129
Zfp839,0.009492133,0.660505213,0.192,0.063,1,AMG4,0.129
Oasl2,3.37E-10,0.62848361,0.136,0.007,8.56E-06,Macrophage,0.129
Nrg3,0.005277996,0.732974273,0.818,0.689,1,Macrophage,0.129
Emc6,0.006799231,0.82726515,0.182,0.053,1,Macrophage,0.129
Rasgef1a,0.009556302,0.552434634,0.182,0.053,1,Macrophage,0.129
Tmem273,5.37E-06,0.262443998,0.292,0.163,0.136408319,AMG1,0.129
Fnip2,7.92E-05,0.354271727,0.346,0.217,1,AMG1,0.129
Ttk,7.86E-34,0.72282111,0.128,0,2.00E-29,AMG3,0.128
Cdc45,7.86E-34,0.571446547,0.128,0,2.00E-29,AMG3,0.128
Hmbs,7.19E-08,0.561948312,0.149,0.021,0.001826637,AMG3,0.128
Ska2,9.48E-08,0.487530944,0.149,0.021,0.002411062,AMG3,0.128
Recql5,0.001074522,0.348592886,0.191,0.063,1,AMG3,0.128
Atp13a1,0.001156248,0.325781713,0.191,0.063,1,AMG3,0.128
Nhlrc3,0.001278572,0.280495675,0.191,0.063,1,AMG3,0.128
Phlpp2,0.005557747,0.312472112,0.213,0.085,1,AMG3,0.128
Ctbp2,0.005876815,0.36344622,0.213,0.085,1,AMG3,0.128
Gm16982,1.73E-09,0.830529089,0.136,0.008,4.39E-05,Macrophage,0.128
Aurkb,6.68E-29,0.648564259,0.128,0.001,1.70E-24,AMG3,0.127
Mrnip,2.09E-07,0.36883381,0.149,0.022,0.005309884,AMG3,0.127
Snrpc,0.000112922,0.356806382,0.17,0.043,1,AMG3,0.127
Tmem147,0.001012315,0.418599992,0.191,0.064,1,AMG3,0.127
Amz1,0.004257614,0.428841778,0.213,0.086,1,AMG3,0.127
Mxd1,0.004428739,0.51964318,0.213,0.086,1,AMG3,0.127
Ints2,0.005750706,0.337095933,0.213,0.086,1,AMG3,0.127
D16Ertd472e,0.000191477,0.662895684,0.154,0.027,1,AMG4,0.127
Xaf1,0.00023189,0.507045573,0.154,0.027,1,AMG4,0.127
Dnase1l1,9.04E-09,0.801464618,0.136,0.009,0.000229893,Macrophage,0.127
Tmtc3,0.008452358,0.86923317,0.182,0.055,1,Macrophage,0.127
Cd300lf,3.89E-10,0.628719128,0.203,0.077,9.89E-06,AMG1,0.126
Arid5b,0.000844606,0.25327296,0.478,0.352,1,AMG1,0.126
Map1a,2.66E-07,0.554691252,0.149,0.023,0.006761847,AMG3,0.126
Rpap1,3.13E-07,0.665019667,0.149,0.023,0.007947022,AMG3,0.126
Rexo5,3.33E-07,0.46215394,0.149,0.023,0.008475224,AMG3,0.126
Gramd4,0.001465167,0.334285495,0.191,0.065,1,AMG3,0.126
Pak3,0.00181419,0.330834098,0.191,0.065,1,AMG3,0.126
Jpt1,0.001925082,0.253164256,0.191,0.065,1,AMG3,0.126
Bcl9,3.22E-06,0.292602525,0.266,0.141,0.081756127,AMG1,0.125
Npas4,2.08E-09,0.837652074,0.22,0.095,5.29E-05,AMG2,0.125
Cdkn2a,2.93E-22,0.568411523,0.128,0.003,7.44E-18,AMG3,0.125
Gmnn,3.01E-22,0.442017305,0.128,0.003,7.65E-18,AMG3,0.125
Eme1,3.10E-22,0.483139359,0.128,0.003,7.87E-18,AMG3,0.125
Troap,3.19E-22,0.601952601,0.128,0.003,8.10E-18,AMG3,0.125
Kif2c,3.37E-22,0.563470539,0.128,0.003,8.57E-18,AMG3,0.125
Dis3,7.69E-07,0.288129894,0.149,0.024,0.01954091,AMG3,0.125
4930414N06Rik,0.001635815,0.4012049,0.191,0.066,1,AMG3,0.125
Necap1,0.005863552,0.410990342,0.213,0.088,1,AMG3,0.125
Rcc2,0.00739226,0.301632212,0.213,0.088,1,AMG3,0.125
Atrip,0.00035794,0.605063275,0.154,0.029,1,AMG4,0.125
Gm40645,4.80E-07,0.304926186,0.242,0.117,0.01219181,AMG1,0.125
Lancl1,0.000235492,0.457298994,0.17,0.046,1,AMG3,0.124
